03,04,06,08,09,10,13,14,15,17,18,19,21,23,24
01,05,06,08,10,11,12,13,15,16,19,20,21,23,24
01,02,05,06,09,10,11,13,15,17,18,21,22,24,25
01,03,04,05,06,09,10,11,13,15,17,19,20,24,25
02,04,05,06,09,10,11,12,13,16,20,21,22,23,25
03,05,07,08,09,11,14,15,16,18,19,20,22,23,25
01,02,03,05,08,09,11,13,14,17,20,21,22,23,24
02,03,04,06,09,10,11,13,17,18,20,22,23,24,25
02,04,05,08,09,10,12,13,15,16,18,19,21,23,24
01,02,03,04,05,07,11,12,13,16,19,20,21,22,24
01,02,05,06,07,08,11,12,13,15,16,17,19,21,24
02,03,04,08,11,12,13,15,16,18,19,20,21,22,25
03,04,08,10,11,13,14,15,17,18,19,20,21,22,25
01,02,03,07,09,10,12,13,16,17,19,20,21,23,25
01,02,03,05,09,11,12,14,16,18,19,20,21,22,24
01,03,04,05,06,09,11,12,14,16,18,20,22,23,24
01,02,03,06,08,10,11,12,14,18,20,22,23,24,25
01,03,05,07,09,10,11,12,13,16,17,19,20,21,22
01,02,03,04,06,11,12,13,14,16,19,21,22,23,24
01,02,03,04,06,11,12,13,14,15,19,21,23,24,25
01,02,03,04,06,11,12,13,14,15,19,21,23,24,25
01,02,03,04,06,11,12,13,14,16,19,21,22,24,25
01,02,03,04,06,11,12,13,14,16,20,21,22,24,25
01,02,03,04,06,11,12,13,14,18,20,21,22,24,25
01,02,04,06,09,11,12,14,15,17,19,21,22,23,24
01,02,04,05,09,11,12,13,15,17,19,21,22,23,24
01,02,04,05,10,11,12,13,15,17,19,20,22,23,25
02,03,04,06,10,11,12,13,15,18,19,20,22,23,25
02,03,04,06,10,11,12,13,16,18,19,20,22,23,25
01,03,04,06,10,11,12,13,17,18,19,20,21,23,25
01,02,04,06,10,11,12,13,17,18,19,20,21,23,25
01,02,04,06,10,11,12,14,17,18,19,20,21,23,25
01,02,04,06,10,11,12,14,17,18,19,22,23,24,25
01,02,04,06,10,11,13,14,17,18,19,20,21,23,25
01,02,04,06,10,11,13,15,17,18,19,20,21,22,25
01,02,04,06,10,11,13,15,17,18,19,20,21,22,25
01,02,04,06,10,11,13,14,17,18,19,20,21,22,25
01,02,04,06,10,11,12,14,17,18,19,20,21,22,25
01,02,04,09,10,11,12,14,17,18,19,20,21,22,25
